"""",FK1-05010,FK1-05010 | truza bordada ; talla-12 color: naranja color: na,,"update sku set sku_readable = ""FK1-05010 | truza bordada ; talla-12 color: naranja color: na"" where sku = ""FK1-05010"";"
"""",FK1-06010,FK1-06010 | truza bordada ; talla-14 color: naranja color: na,,"update sku set sku_readable = ""FK1-06010 | truza bordada ; talla-14 color: naranja color: na"" where sku = ""FK1-06010"";"
"""",FK1-07010,FK1-07010 | truza bordada ; talla-16 color: naranja color: na,,"update sku set sku_readable = ""FK1-07010 | truza bordada ; talla-16 color: naranja color: na"" where sku = ""FK1-07010"";"
"""",FK1-01011,FK1-01011 | truza bordada ; talla-4 color: lila color: na,,"update sku set sku_readable = ""FK1-01011 | truza bordada ; talla-4 color: lila color: na"" where sku = ""FK1-01011"";"
"""",FK1-02011,FK1-02011 | truza bordada ; talla-6 color: lila color: na,,"update sku set sku_readable = ""FK1-02011 | truza bordada ; talla-6 color: lila color: na"" where sku = ""FK1-02011"";"
"""",FK1-03011,FK1-03011 | truza bordada ; talla-8 color: lila color: na,,"update sku set sku_readable = ""FK1-03011 | truza bordada ; talla-8 color: lila color: na"" where sku = ""FK1-03011"";"
"""",FK1-04011,FK1-04011 | truza bordada ; talla-10 color: lila color: na,,"update sku set sku_readable = ""FK1-04011 | truza bordada ; talla-10 color: lila color: na"" where sku = ""FK1-04011"";"
"""",FK1-05011,FK1-05011 | truza bordada ; talla-12 color: lila color: na,,"update sku set sku_readable = ""FK1-05011 | truza bordada ; talla-12 color: lila color: na"" where sku = ""FK1-05011"";"
"""",FK1-06011,FK1-06011 | truza bordada ; talla-14 color: lila color: na,,"update sku set sku_readable = ""FK1-06011 | truza bordada ; talla-14 color: lila color: na"" where sku = ""FK1-06011"";"
"""",FK1-07011,FK1-07011 | truza bordada ; talla-16 color: lila color: na,,"update sku set sku_readable = ""FK1-07011 | truza bordada ; talla-16 color: lila color: na"" where sku = ""FK1-07011"";"
"""",MC-09000,MC-09000 | bikini damas ; talla-s color: na color: na,,"update sku set sku_readable = ""MC-09000 | bikini damas ; talla-s color: na color: na"" where sku = ""MC-09000"";"
"""",MC-10000,MC-10000 | bikini damas ; talla-m color: na color: na,,"update sku set sku_readable = ""MC-10000 | bikini damas ; talla-m color: na color: na"" where sku = ""MC-10000"";"
"""",MC-11000,MC-11000 | bikini damas ; talla-l color: na color: na,,"update sku set sku_readable = ""MC-11000 | bikini damas ; talla-l color: na color: na"" where sku = ""MC-11000"";"
"""",MC-09001,MC-09001 | bikini damas ; talla-s color: blanco color: na,,"update sku set sku_readable = ""MC-09001 | bikini damas ; talla-s color: blanco color: na"" where sku = ""MC-09001"";"
"""",MC-10001,MC-10001 | bikini damas ; talla-m color: blanco color: na,,"update sku set sku_readable = ""MC-10001 | bikini damas ; talla-m color: blanco color: na"" where sku = ""MC-10001"";"
